WML8DWgCqDw69JKTiPdEkQdXYBurYHGwWw6WyRCP5mBv4sj,5CUjgvYbRbapsKGUyQwWD6FMSVUntKaXvKRxHGDLWimEL7fG,240,0.2915,240,0.2921,345,0.3941,345,0.345,345,0.3196,345,0.3166,345,0.3078,2.267
WMLnY3nfMK227t63xposQ5jSMPV2ikxkiwUKFDPVwJa3Qhg,5CUkMF5ht7fuoHrFZfNgqjvTMJgN4W4DjXSL5Y1XdaJcTSpB,3170.2836,3.8508,3170.2836,3.8592,3170.2836,3.6216,3170.2836,3.171,3170.2836,2.9376,3170.2836,2.9101,3170.2836,2.8285,23.1791
WN7PiNm5sYDZW2mG1kqn4VUCz24Up2nmWYjzsuzfCsRucta,5CVWxRQgJdu7LfzvmiJikQLC7wJwWbL3kK3bmAi8nqsUKcNf,350,0.4251,300,0.3651,300,0.3427,300,0.3,300,0.2779,300,0.2753,300,0.2676,2.2541
WPeA2FtadbzCrzaudYB8xFeFNND48bmJgTE78SNvZLTJjmV,5CX3ijHooPxsz2xkRL647J6NAKf65uu2HUx5sREX4CLVidFM,432,0.5247,432,0.5258,432,0.4935,432,0.4321,432,0.4003,432,0.3965,432,0.3854,3.1585
WQhBWNE1b5FdmvtPDQiCaeYZwMg97mzB2iPJTBjTgCmqiQm,5CY6kDQ9EMS9Qwu3tuxbAvVGUteZAu5F9qDF4jysbKCpFPCN,500,0.6073,500,0.6086,500,0.5711,500,0.5001,500,0.4633,500,0.4589,500,0.4461,3.6556
WSN4QUVEQtWBeMdJ6Jp2qDxswLbJt9SNXhAccPnbsL8ddrz,5CZmd7WQTBFPxpKnonrh1B4gntdULfShMLC2NuBvjWLB3b1u,102,0.1238,102,0.1241,102,0.1165,102,0.102,102,0.0945,102,0.0936,102,0.091,0.7457
WSq6T1fNAmsnSAk75ktEkcuXFPpQqSc9SWUpzwhSHTssBuy,5CaEfA3aaw8mZc8ucnJmD6TdSCghScjs8F1LbHjqZvTvH1vk,8088.4,9.8246,8088.4,9.8461,,,,,,,,,,,19.6708
WT4F6szAiyp9T1LvvKrYZMgatjF4T1ZFe7DNh9uXMawo5Rr,5CaToouuPVLhvcyWScsjWuCQVr286EJpESc58yx3ezazCxhJ,200,0.2429,200,0.2434,200,0.2284,200,0.2,200,0.1853,200,0.1835,200,0.1784,1.4622
WTH1YDqn69hUKE1VRBG5GZrykovaB6yA6gLBj1LEcKKKy5h,5CagaFFkzrWbFVCB17j93cQati6obxQE8uBBx1oUNFKMkBaM,348,0.4227,348,0.4236,348,0.3975,348,0.348,348,0.3224,348,0.3194,348,0.3104,2.5443
WTPSRRomN9veBVPmzZY4bTzDuJHAEBaQdyfUceJ9pet79Wx,5Cao18Tiz8WpRMTZHh7R2wJi8rbAC1UqPSUXEuSSHTevX1io,1100,1.3361,1000,1.2173,1000,1.1423,600,0.6001,600,0.5559,600,0.5507,100,0.0892,5.4919
WUojMqV3Mip9Fk9i76SU6byNGYoAPohVLvuf9qZ8NJtf5uY,5CcDJ4sQG85hvRiKDoeKSSShHDqgCB6xU9RmRSdhG1Jw55TG,3440,4.1784,3440,4.1875,3440,3.9297,3440,3.4408,3440,3.1876,3440,3.1577,3440,3.0691,25.1511
